"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB01","Library Visits - All Libraries","67275.00 Number","Number","2021/2022_Mar","2022-03-01","2022-03-31","Annual"
"LIB01","Library Visits - All Libraries","66483.00 Number","Number","2022/2023_Apr","2022-04-01","2022-04-30","Annual"
"LIB01","Library Visits - All Libraries","864963.00 Number","Number","2022/2023","2022-04-01","2023-03-31","Annual"
"LIB01","Library Visits - All Libraries","206217.00 Number","Number","2022/2023_Q1","2022-04-01","2022-06-30","Annual"
"LIB01","Library Visits - All Libraries","70706.00 Number","Number","2022/2023_May","2022-05-01","2022-05-31","Annual"
"LIB01","Library Visits - All Libraries","69028.00 Number","Number","2022/2023_Jun","2022-06-01","2022-06-30","Annual"
"LIB01","Library Visits - All Libraries","73145.00 Number","Number","2022/2023_Jul","2022-07-01","2022-07-31","Annual"
"LIB01","Library Visits - All Libraries","226066.00 Number","Number","2022/2023_Q2","2022-07-01","2022-09-30","Annual"
"LIB01","Library Visits - All Libraries","81691.00 Number","Number","2022/2023_Aug","2022-08-01","2022-08-31","Annual"
"LIB01","Library Visits - All Libraries","71230.00 Number","Number","2022/2023_Sep","2022-09-01","2022-09-30","Annual"
"LIB01","Library Visits - All Libraries","201960.00 Number","Number","2022/2023_Q3","2022-10-01","2022-12-31","Annual"
"LIB01","Library Visits - All Libraries","74891.00 Number","Number","2022/2023_Oct","2022-10-01","2022-10-31","Annual"
"LIB01","Library Visits - All Libraries","70924.00 Number","Number","2022/2023_Nov","2022-11-01","2022-11-30","Annual"
"LIB01","Library Visits - All Libraries","56145.00 Number","Number","2022/2023_Dec","2022-12-01","2022-12-31","Annual"
"LIB01","Library Visits - All Libraries","230720.00 Number","Number","2022/2023_Q4","2023-01-01","2023-03-31","Annual"
"LIB01","Library Visits - All Libraries","72980.00 Number","Number","2022/2023_Jan","2023-01-01","2023-01-31","Annual"
"LIB01","Library Visits - All Libraries","76461.00 Number","Number","2022/2023_Feb","2023-02-01","2023-02-28","Annual"
"LIB01","Library Visits - All Libraries","81279.00 Number","Number","2022/2023_Mar","2023-03-01","2023-03-31","Annual"
"LIB01","Library Visits - All Libraries","821837.00 Number","Number","2023/2024","2023-04-01","2024-03-31","Annual"
"LIB01","Library Visits - All Libraries","77721.00 Number","Number","2023/2024_Apr","2023-04-01","2023-04-30","Annual"
"LIB01","Library Visits - All Libraries","240908.00 Number","Number","2023/2024_Q1","2023-04-01","2023-06-30","Annual"
"LIB01","Library Visits - All Libraries","80890.00 Number","Number","2023/2024_May","2023-05-01","2023-05-31","Annual"
"LIB01","Library Visits - All Libraries","82297.00 Number","Number","2023/2024_Jun","2023-06-01","2023-06-30","Annual"
"LIB01","Library Visits - All Libraries","87483.00 Number","Number","2023/2024_Jul","2023-07-01","2023-07-31","Annual"
"LIB01","Library Visits - All Libraries","260575.00 Number","Number","2023/2024_Q2","2023-07-01","2023-09-30","Annual"
"LIB01","Library Visits - All Libraries","90385.00 Number","Number","2023/2024_Aug","2023-08-01","2023-08-31","Annual"
"LIB01","Library Visits - All Libraries","82707.00 Number","Number","2023/2024_Sep","2023-09-01","2023-09-30","Annual"
"LIB01","Library Visits - All Libraries","216990.00 Number","Number","2023/2024_Q3","2023-10-01","2023-12-31","Annual"
"LIB01","Library Visits - All Libraries","82659.00 Number","Number","2023/2024_Oct","2023-10-01","2023-10-31","Annual"
"LIB01","Library Visits - All Libraries","75648.00 Number","Number","2023/2024_Nov","2023-11-01","2023-11-30","Annual"
"LIB01","Library Visits - All Libraries","58683.00 Number","Number","2023/2024_Dec","2023-12-01","2023-12-31","Annual"
"LIB01","Library Visits - All Libraries","NA","Number","2023/2024_Jan","2024-01-01","2024-01-31","Annual"
"LIB01","Library Visits - All Libraries","NA","Number","2023/2024_Q4","2024-01-01","2024-03-31","Annual"
"LIB01","Library Visits - All Libraries","NA","Number","2023/2024_Feb","2024-02-01","2024-02-29","Annual"
"LIB01","Library Visits - All Libraries","NA","Number","2023/2024_Mar","2024-03-01","2024-03-31","Annual"
"LIB01","Library Visits - All Libraries","895093.00 Number","Number","2024/2025","2024-04-01","2025-03-31","Annual"
