NAME,COMPUTER_SESSIONS,WIFI_USE,GATE_COUNT,FISCAL_YEAR,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,OBJECTID,GLOBALID
Northwest One,40632,6490,99132,2018,LibraryPt_23,,2022/08/04 22:59:02+00,95,{5E0C0F56-8144-4AD1-B7DE-38CAF369D5BA}
Palisades,3553,6004,75621,2018,LibraryPt_12,,2022/08/04 22:59:02+00,96,{A8A63289-D7B3-4D4C-82DF-093B774D6627}
Parklands-Turner,49087,21523,148023,2018,LibraryPt_19,,2022/08/04 22:59:02+00,97,{C3E1E393-59E4-4A18-84EC-19E49C949A8F}
Petworth,48003,27432,172158,2018,LibraryPt_26,,2022/08/04 22:59:02+00,98,{4E46EB16-DC80-4A31-934B-92DBDC18111D}
Rosedale,27122,7517,100773,2018,LibraryPt_32,,2022/08/04 22:59:02+00,99,{E6958756-B561-4D96-9214-6BDCC97D3658}
Shaw (Watha T. Daniel),77800,35872,270904,2018,LibraryPt_28,,2022/08/04 22:59:02+00,100,{F197B03A-40D8-415E-982B-33C79356AB4C}
Shepherd Park (Juanita E. Thornton),30317,9934,104366,2018,LibraryPt_16,,2022/08/04 22:59:02+00,101,{E12558BE-846E-476C-AE90-70BBCB2418C1}
Southeast,33234,14363,166853,2018,LibraryPt_14,,2022/08/04 22:59:02+00,102,{3CE3A582-8BD2-4D31-81C0-6C047794C0AE}
Southwest ,30477,9879,98061,2018,LibraryPt_15,,2022/08/04 22:59:02+00,103,{48B95B20-E0C5-4838-8CDE-8E9BC1C494E4}
Takoma Park,18256,6202,74616,2018,LibraryPt_17,,2022/08/04 22:59:02+00,104,{DF3BFA3B-1EA6-4FEE-A1CB-B6FCED092BDA}
Tenley-Friendship,39716,15929,244266,2018,LibraryPt_11,,2022/08/04 22:59:02+00,105,{680A5B30-9610-4D25-AD07-5FB242306BE6}
West End,42911,30690,165946,2018,LibraryPt_21,,2022/08/04 22:59:02+00,106,{48A504D1-4C27-4D82-8B2C-31BFFCA7E46F}
Woodridge,54935,20737,172335,2018,LibraryPt_22,,2022/08/04 22:59:02+00,107,{2690B2BE-353B-452D-8B4D-CCBCAD4E91CD}
